"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","UI interactions","1","0","Drag and Drop","0"
"0","","0","Form elements","1","0","Select","0"
"0","","0","TodoMVC","1","0","Добавление задачи","0"
"0","","0","TodoMVC","1","0","Работа с задачами","0"
"0","","0","Locators","1","0","Использование locator.and_","0"
"0","","0","Dialogs","1","0","Browser dialogs","0"
"0","","0","Tabs","1","0","Work with new tab","0"
"0","","0","Login","2","0","Login with valid credentials","0"
"0","","0","Form elements","1","0","Checkboxes and radios","0"
"0","","0","Авторизаци","1","0","Авторизации недействительные учетные данные","0"
