"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","438","Перетаскивание элемента drag and drop","tests","2026-02-14","passed","2026-02-14","","test_todo","",""
"","514","Выбор нескольких значений в select","tests","2026-02-14","passed","2026-02-14","","test_todo","",""
"","847","Добавление новой задачи в TodoMVC","tests","2026-02-14","passed","2026-02-14","","test_todo","",""
"","804","Добавление и завершение задач","tests","2026-02-14","passed","2026-02-14","","test_todo","",""
"","528","Клик по кнопке с составным локатором","tests","2026-02-14","passed","2026-02-14","","test_todo","",""
"","548","Обработка confirmation диалога","tests","2026-02-14","passed","2026-02-14","","test_todo","",""
"","628","Проверка открытия новой вкладки","tests","2026-02-14","passed","2026-02-14","","test_todo","",""
"","958","Авторизаиця с корректными учетными данными","tests","2026-02-14","passed","2026-02-14","","test_login","",""
"","972","Авторизаиця с корректными учетными данными","tests","2026-02-14","passed","2026-02-14","","test_login","",""
"","658","Работа с чекбоксами и радиокнопками","tests","2026-02-14","passed","2026-02-14","","test_todo","",""
"","543","Авторизаиця с недействительными учетными данными","tests","2026-02-14","passed","2026-02-14","","test_login","",""
